,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,,-additional
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,JAX,Travon Walker,DE,21,2025,0,0,4,26,26,63,0,0,0,0,0,0,0,0,0,0,0,101,1,27.5,Georgia,College Stats,WalkTr03
1,2,DET,Aidan Hutchinson,DE,22,2025,0,2,3,31,31,56,0,0,0,0,0,0,0,0,0,0,0,118,5,43.0,Michigan,College Stats,HutcAi00
1,3,HOU,Derek Stingley Jr.,CB,21,2025,2,2,4,36,36,54,0,0,0,0,0,0,0,0,0,0,0,126,15,1.0,LSU,College Stats,StinDe00
1,4,NYJ,Sauce Gardner,CB,22,2025,2,2,3,33,33,59,0,0,0,0,0,0,0,0,0,0,0,156,3,1.0,Cincinnati,College Stats,GardSa00
1,5,NYG,Kayvon Thibodeaux,DE,21,2025,0,0,3,24,24,53,0,0,0,0,0,0,0,0,0,0,0,86,,23.5,Oregon,College Stats,ThibKa00
1,6,CAR,Ikem Ekwonu,T,21,2025,0,0,4,25,25,64,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,College Stats,EkwoIk00
1,7,NYG,Evan Neal,OL,21,2024,0,0,1,11,11,29,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,College Stats,NealEv00
1,8,ATL,Drake London,WR,21,2025,0,0,4,32,32,62,1,1,22,0,0,1,-3,0,309,3961,22,2,,,USC,College Stats,LondDr00
1,9,SEA,Charles Cross,OL,21,2025,0,0,4,28,28,62,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats,CrosCh00
1,10,NYJ,Garrett Wilson,WR,22,2025,0,0,3,27,27,58,0,2,0,0,0,10,9,0,315,3644,18,1,,,Ohio St.,College Stats,WilsGa00
1,11,NOR,Chris Olave,WR,22,2025,0,0,4,27,27,55,0,1,0,0,1,2,4,0,291,3728,19,3,,,Ohio St.,College Stats,OlavCh00
1,12,DET,Jameson Williams,WR,21,2025,0,0,2,26,26,50,0,0,0,0,0,21,142,2,148,2513,17,,,,Alabama,College Stats,WillJa11
1,13,PHI,Jordan Davis,DT,22,2025,0,0,3,24,24,64,0,0,0,0,0,0,0,0,0,0,0,75,,8.0,Georgia,College Stats,DaviJo03
1,14,BAL,Kyle Hamilton,S,21,2025,2,3,3,31,31,64,0,0,0,0,0,0,0,0,0,0,0,245,5,8.0,Notre Dame,College Stats,HamiKy00
1,15,HOU,Kenyon Green,OL,21,2024,0,0,2,8,8,27,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,GreeKe03
1,16,WAS,Jahan Dotson,WR,22,2025,0,0,3,12,8,63,0,0,0,0,0,3,6,0,121,1519,12,2,,,Penn St.,College Stats,DotsJa00
1,17,LAC,Zion Johnson,G,22,2025,0,0,4,25,25,66,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,College Stats,JohnZi00
1,18,TEN,Treylon Burks,WR,22,2025,0,0,1,7,6,35,0,0,0,0,0,11,66,0,63,829,2,,,,Arkansas,College Stats,BurkTr00
1,19,NOR,Trevor Penning,T,23,2025,0,0,1,15,13,53,0,0,0,0,0,0,0,0,0,0,0,,,,Northern Iowa,,PennTr00
1,20,PIT,Kenny Pickett,QB,24,2025,0,0,2,14,13,36,499,800,4953,16,16,111,328,5,0,0,0,2,,,Pittsburgh,College Stats,PickKe00
1,21,KAN,Trent McDuffie,CB,21,2025,1,0,4,33,33,56,0,0,0,0,0,0,0,0,0,0,0,178,3,5.5,Washington,College Stats,McDuTr00
1,22,GNB,Quay Walker,LB,22,2025,0,0,4,22,22,58,0,0,0,0,0,0,0,0,0,0,0,264,1,9.0,Georgia,College Stats,WalkQu00
1,23,BUF,Kaiir Elam,CB,21,2025,0,0,0,9,6,43,0,0,0,0,0,0,0,0,0,0,0,78,2,,Florida,College Stats,ElamKa00
1,24,DAL,Tyler Smith,OL,21,2025,0,3,4,33,33,63,0,0,0,0,0,0,0,0,1,0,0,1,,,Tulsa,College Stats,SmitTy02
1,25,BAL,Tyler Linderbaum,OL,22,2025,0,3,4,34,34,66,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,College Stats,LindTy00
1,26,NYJ,Jermaine Johnson II,LB,23,2025,0,1,2,19,19,47,0,0,0,0,0,0,0,0,0,0,0,80,1,13.0,Florida St.,College Stats,JohnJe07
1,27,JAX,Devin Lloyd,LB,23,2025,0,1,4,35,35,63,0,0,0,0,0,0,0,0,0,0,0,230,9,3.5,Utah,College Stats,LloyDe00
1,28,GNB,Devonte Wyatt,DT,24,2025,0,0,1,10,10,57,0,0,0,0,0,0,0,0,0,0,0,58,,16.0,Georgia,College Stats,WyatDe00
1,29,NWE,Cole Strange,OL,24,2025,0,0,3,15,11,44,0,0,0,0,0,0,0,0,0,3,0,1,,,Chattanooga,,StraCo01
1,30,KAN,George Karlaftis III,DE,21,2025,0,0,4,27,27,65,0,0,0,0,0,0,0,0,0,0,0,93,,30.5,Purdue,College Stats,KarlGe00
1,31,CIN,Daxton Hill,DB,21,2025,0,0,2,13,13,54,0,0,0,0,0,0,0,0,0,0,0,160,3,2.5,Michigan,College Stats,HillDa04
1,32,MIN,Lewis Cine,DB,22,2024,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,CineLe00
2,33,TAM,Logan Hall,DE,22,2025,0,0,2,19,19,66,0,0,0,0,0,0,0,0,0,0,0,53,,10.0,Houston,College Stats,HallLo00
2,34,GNB,Christian Watson,WR,23,2025,0,0,4,22,22,48,0,0,0,0,0,16,117,2,133,2264,20,,,,North Dakota St.,,WatsCh00
2,35,TEN,Roger McCreary,CB,22,2025,0,0,2,13,13,61,0,0,0,0,0,0,0,0,0,0,0,198,3,4.0,Auburn,College Stats,McCrRo01
2,36,NYJ,Breece Hall,RB,21,2025,0,0,3,28,28,56,1,1,4,1,0,755,3398,18,188,1642,9,1,,,Iowa St.,College Stats,HallBr03
2,37,HOU,Jalen Pitre,S,23,2025,0,0,4,21,21,58,0,0,0,0,0,0,0,0,0,0,0,244,10,1.0,Baylor,College Stats,PitrJa00
2,38,ATL,Arnold Ebiketie,DE,23,2025,0,0,0,10,10,67,0,0,0,0,0,0,0,0,0,0,0,80,,16.5,Penn St.,College Stats,EbikAr00
2,39,CHI,Kyler Gordon,CB,22,2025,0,0,2,12,12,45,0,0,0,0,0,0,0,0,0,0,0,152,5,2.5,Washington,College Stats,GordKy00
2,40,SEA,Boye Mafe,DE,23,2025,0,0,1,16,16,65,0,0,0,0,0,0,0,0,0,0,0,99,,20.0,Minnesota,College Stats,MafeBo00
2,41,SEA,Kenneth Walker III,RB,21,2025,0,0,4,28,28,58,0,0,0,0,0,821,3555,29,133,1005,2,1,,,Michigan St.,College Stats,WalkKe00
2,42,MIN,Andrew Booth,CB,21,2024,0,0,0,3,2,30,0,0,0,0,0,0,0,0,0,0,0,29,,,Clemson,College Stats,BootAn00
2,43,NYG,Wan'Dale Robinson,WR,21,2025,0,0,1,20,20,54,0,0,0,0,0,17,109,1,268,2465,9,,,,Kentucky,College Stats,RobiWa01
2,44,HOU,John Metchie,WR,22,2025,0,0,0,5,3,45,0,0,0,0,0,4,-1,0,73,686,3,2,,,Alabama,College Stats,MetcJo00
2,45,BAL,David Ojabo,LB,22,2025,0,0,0,3,3,32,0,0,0,0,0,0,0,0,0,0,0,18,,4.5,Michigan,College Stats,OjabDa00
2,46,DET,Josh Paschal,DE,22,2024,0,0,0,9,9,36,0,0,0,0,0,0,0,0,0,0,0,42,,5.0,Kentucky,College Stats,PascJo00
2,47,WAS,Phidarian Mathis,DT,24,2025,0,0,0,2,2,29,0,0,0,0,0,0,0,0,0,0,0,14,,,Alabama,College Stats,MathPh00
2,48,CHI,Jaquan Brisker,S,23,2025,0,0,3,15,15,52,0,0,0,0,0,0,0,0,0,0,0,214,4,7.0,Penn St.,College Stats,BrisJa01
2,49,NOR,Alontae Taylor,DB,23,2025,0,0,4,19,19,64,0,0,0,0,0,0,0,0,0,0,0,215,4,7.0,Tennessee,College Stats,TaylAl01
2,50,NWE,Tyquan Thornton,WR,21,2025,0,0,1,7,3,42,0,0,0,0,0,6,67,1,58,823,5,2,,,Baylor,College Stats,ThorTy00
2,51,PHI,Cam Jurgens,OL,23,2025,0,2,3,20,20,58,0,0,0,0,0,0,0,0,0,0,0,,,,Nebraska,College Stats,JurgCa01
2,52,PIT,George Pickens,WR,21,2025,0,1,4,36,23,65,0,0,0,0,0,8,36,1,267,4270,21,1,,,Georgia,College Stats,PickGe00
2,53,IND,Alec Pierce,WR,22,2025,0,0,4,26,26,64,0,0,0,0,0,0,0,0,157,2934,17,,,,Cincinnati,College Stats,PierAl00
2,54,KAN,Skyy Moore,WR,21,2025,0,0,0,5,4,53,0,0,0,0,0,8,58,0,48,581,1,1,,,Western Michigan,College Stats,MoorSk01
2,55,ARI,Trey McBride,TE,22,2025,1,2,4,29,29,66,0,0,0,0,0,1,2,1,347,3475,17,7,,,Colorado St.,College Stats,McBrTr01
2,56,DAL,Sam Williams,DE,23,2025,0,0,0,6,6,49,0,0,0,0,0,0,0,0,0,0,0,53,,9.5,Mississippi,College Stats,WillSa00
2,57,TAM,Luke Goedeke,OL,23,2025,0,0,3,22,22,52,0,0,0,0,0,0,0,0,0,0,0,1,,,Central Michigan,College Stats,GoedLu00
2,58,ATL,Troy Andersen,LB,23,2024,0,0,0,6,6,26,0,0,0,0,0,0,0,0,0,0,0,75,1,0.5,Montana St.,,AndeTr00
2,59,MIN,Ed Ingram,G,23,2025,0,0,4,21,16,62,0,0,0,0,0,0,0,0,0,0,0,1,,,LSU,College Stats,IngrEd00
2,60,CIN,Cam Taylor-Britt,CB,22,2025,0,0,3,15,15,47,0,0,0,0,0,0,0,0,0,0,0,151,7,0.5,Nebraska,College Stats,TaylCa01
2,61,SFO,Drake Jackson,OLB,21,2025,0,0,0,3,3,26,0,0,0,0,0,0,0,0,0,0,0,13,1,6.0,USC,College Stats,JackDr01
2,62,KAN,Bryan Cook,S,23,2025,0,0,3,18,18,62,0,0,0,0,0,0,0,0,0,0,0,153,3,1.0,Cincinnati,College Stats,CookBr02
2,63,BUF,James Cook,RB,22,2025,0,3,3,43,43,66,0,0,0,0,0,842,4259,32,130,1174,9,1,,,Georgia,College Stats,CookJa01
