,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,,-additional
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,CHI,Caleb Williams,QB,22,2025,0,0,2,26,26,34,681,1130,7483,47,13,158,877,3,2,22,1,,,,USC,College Stats,WillCa03
1,2,WAS,Jayden Daniels,QB,23,2025,0,1,1,26,26,24,445,668,4830,33,12,206,1169,8,0,0,0,,,,LSU,College Stats,DaniJa02
1,3,NWE,Drake Maye,QB,22,2025,0,2,2,26,26,30,579,830,6670,46,18,157,871,6,1,2,0,,,,North Carolina,College Stats,MayeDr00
1,4,ARI,Marvin Harrison Jr.,WR,22,2025,0,0,2,13,13,29,0,0,0,0,0,0,0,0,103,1493,12,,,,Ohio St.,College Stats,HarrMa09
1,5,LAC,Joe Alt,OL,21,2025,0,1,1,12,12,22,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,AltxJo01
1,6,NYG,Malik Nabers,WR,21,2025,0,1,1,12,12,19,0,1,0,0,0,5,2,0,127,1475,9,,,,LSU,College Stats,NabeMa00
1,7,TEN,JC Latham,OL,21,2025,0,0,2,11,11,30,0,0,0,0,0,0,0,0,1,0,0,,,,Alabama,College Stats,LathJC00
1,8,ATL,Michael Penix,QB,24,2025,0,0,1,8,8,14,227,381,2757,12,6,28,81,2,0,0,0,,,,Washington,College Stats,PeniMi00
1,9,CHI,Rome Odunze,WR,22,2025,0,0,2,12,12,29,0,0,0,0,0,3,15,0,98,1395,9,,,,Washington,College Stats,OdunRo00
1,10,MIN,J.J. McCarthy,QB,21,2025,0,0,1,4,4,10,140,243,1632,11,12,37,181,4,0,0,0,,,,Michigan,College Stats,McCaJJ00
1,11,NYJ,Olumuyiwa Fashanu,OL,21,2025,0,0,1,10,10,32,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats,FashOl00
1,12,DEN,Bo Nix,QB,24,2025,0,0,2,25,25,34,764,1179,7706,54,23,175,786,9,1,2,1,,,,Oregon,College Stats,NixxBo00
1,13,LVR,Brock Bowers,TE,21,2025,1,2,1,14,14,29,0,0,0,0,0,7,15,0,176,1874,12,,,,Georgia,College Stats,BoweBr01
1,14,NOR,Taliese Fuaga,OL,22,2025,0,0,2,13,13,30,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon St.,College Stats,FuagTa00
1,15,IND,Laiatu Latu,DL,23,2025,0,0,1,10,10,33,0,0,0,0,0,0,0,0,0,0,0,43,3,12.5,UCLA,College Stats,LatuLa00
1,16,SEA,Byron Murphy,DL,21,2025,0,0,1,14,14,31,0,0,0,0,0,0,0,0,0,0,0,34,,7.5,Texas,College Stats,MurpBy01
1,17,MIN,Dallas Turner,LB,21,2025,0,0,1,9,9,33,0,0,0,0,0,0,0,0,0,0,0,41,1,11.0,Alabama,College Stats,TurnDa01
1,18,CIN,Amarius Mims,OL,21,2025,0,0,2,16,16,32,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,MimsAm00
1,19,LAR,Jared Verse,DL,23,2025,0,2,2,22,22,34,0,0,0,0,0,0,0,0,0,0,0,71,,12.0,Florida St.,College Stats,VersJa00
1,20,PIT,Troy Fautanu,OL,23,2025,0,0,1,9,9,18,0,0,0,0,0,0,0,0,0,0,0,,,,Washington,College Stats,FautTr00
1,21,MIA,Chop Robinson,DE,21,2025,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,26,,10.0,Penn St.,College Stats,RobiCh00
1,22,PHI,Quinyon Mitchell,CB,23,2025,1,1,2,19,19,32,0,0,0,0,0,0,0,0,0,0,0,72,,,Toledo,College Stats,MitcQu00
1,23,JAX,Brian Thomas,WR,21,2025,0,1,2,18,18,31,0,0,0,0,0,9,69,1,135,1989,12,,,,LSU,College Stats,ThomBr06
1,24,DET,Terrion Arnold,DB,21,2025,0,0,1,8,8,24,0,0,0,0,0,0,0,0,0,0,0,70,1,,Alabama,College Stats,ArnoTe00
1,25,GNB,Jordan Morgan,OL,23,2025,0,0,1,9,9,23,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,College Stats,MorgJo03
1,26,TAM,Graham Barton,OL,22,2025,0,0,2,15,15,33,0,0,0,0,0,0,0,0,0,0,0,,,,Duke,College Stats,BartGr00
1,27,ARI,Darius Robinson,DL,22,2025,0,0,1,4,4,21,0,0,0,0,0,0,0,0,0,0,0,19,,2.0,Missouri,College Stats,RobiDa01
1,28,KAN,Xavier Worthy,WR,21,2025,0,0,2,13,13,31,0,0,0,0,0,31,191,3,101,1170,7,,,,Texas,College Stats,WortXa00
1,29,DAL,Tyler Guyton,OL,23,2025,0,0,2,9,9,25,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,GuytTy00
1,30,BAL,Nate Wiggins,CB,21,2025,0,0,1,7,7,32,0,0,0,0,0,0,0,0,0,0,0,82,4,,Clemson,College Stats,WiggNa00
1,31,SFO,Ricky Pearsall,WR,23,2025,0,0,1,8,8,20,0,1,0,0,0,5,43,0,67,928,3,,,,Florida,College Stats,PearRi00
1,32,CAR,Xavier Legette,WR,23,2025,0,0,2,8,8,31,0,0,0,0,0,7,24,0,84,860,7,,,,South Carolina,College Stats,LegeXa00
2,33,BUF,Keon Coleman,WR,21,2025,0,0,1,11,11,26,0,0,0,0,0,1,9,0,67,960,8,,,,Florida St.,College Stats,ColeKe02
2,34,LAC,Ladd McConkey,WR,22,2025,0,0,2,18,18,32,0,0,0,0,0,0,0,0,148,1938,13,,,,Georgia,College Stats,McCoLa00
2,35,ATL,Ruke Orhorhoro,DT,22,2025,0,0,0,6,6,25,0,0,0,0,0,0,0,0,0,0,0,16,,3.5,Clemson,College Stats,OrhoRu00
2,36,WAS,Jer'Zhan Newton,DL,22,2025,0,0,0,7,7,33,0,0,0,0,0,0,0,0,0,0,0,40,,7.0,Illinois,College Stats,NewtJe00
2,37,NWE,Ja'Lynn Polk,WR,22,2024,0,0,1,1,1,15,0,0,0,0,0,1,0,0,12,87,2,,,,Washington,College Stats,PolkJa00
2,38,TEN,T'Vondre Sweat,DL,23,2025,0,0,2,11,11,29,0,0,0,0,0,0,0,0,0,0,0,38,,3.0,Texas,College Stats,SweaTV01
2,39,LAR,Braden Fiske,DL,24,2025,0,0,1,14,14,34,0,0,0,0,0,0,0,0,0,0,0,31,,11.5,Florida St.,College Stats,FiskBr00
2,40,PHI,Cooper DeJean,DB,21,2025,1,1,1,16,16,32,0,0,0,0,0,0,0,0,0,0,0,102,2,0.5,Iowa,College Stats,DeJeCo00
2,41,NOR,Kool-Aid McKinstry,DB,21,2025,0,0,1,10,10,32,0,0,0,0,0,0,0,0,0,0,0,91,3,,Alabama,College Stats,McKiKo00
2,42,HOU,Kamari Lassiter,DB,21,2025,0,1,2,14,14,30,0,0,0,0,0,0,0,0,0,0,0,104,7,,Georgia,College Stats,LassKa00
2,43,ARI,Max Melton,DB,22,2025,0,0,0,4,4,27,0,0,0,0,0,0,0,0,0,0,0,57,,,Rutgers,College Stats,MeltMa00
2,44,LVR,Jackson Powers-Johnson,OL,21,2025,0,0,1,6,6,23,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats,PoweJa00
2,45,GNB,Edgerrin Cooper,LB,22,2025,0,0,1,10,10,30,0,0,0,0,0,0,0,0,0,0,0,120,1,4.0,Texas A&M,College Stats,CoopEd00
2,46,CAR,Jonathon Brooks,RB,21,2024,0,0,0,0,0,3,0,0,0,0,0,9,22,0,3,23,0,,,,Texas,College Stats,BrooJo02
2,47,NYG,Tyler Nubin,DB,23,2025,0,0,2,9,9,26,0,0,0,0,0,0,0,0,0,0,0,106,,,Minnesota,College Stats,NubiTy00
2,48,JAX,Maason Smith,DT,21,2025,0,0,0,4,4,24,0,0,0,0,0,0,0,0,0,0,0,14,,3.0,LSU,College Stats,SmitMa07
