,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,,-additional
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,CLE,Myles Garrett,DE,21,2025,5,7,9,104,104,134,0,0,0,0,0,0,0,0,0,0,0,293,,125.5,Texas A&M,College Stats,GarrMy00
1,2,CHI,Mitchell Trubisky,QB,23,2025,0,1,4,40,34,82,1244,1933,13028,78,48,264,1180,13,0,0,0,,,,North Carolina,College Stats,TrubMi00
1,3,SFO,Solomon Thomas,DE,21,2025,0,0,2,21,15,131,0,0,0,0,0,0,0,0,0,0,0,143,,18.5,Stanford,College Stats,ThomSo00
1,4,JAX,Leonard Fournette,RB,22,2023,0,0,5,38,19,81,0,2,0,0,1,1144,4518,34,312,2219,7,1,,,LSU,College Stats,FourLe00
1,5,TEN,Corey Davis,WR,22,2022,0,0,5,31,24,78,0,0,0,0,0,6,55,0,273,3879,17,,,,Western Michigan,College Stats,DaviCo03
1,6,NYJ,Jamal Adams,S,21,2025,1,3,6,47,29,102,0,0,0,0,0,0,0,0,0,0,0,396,4,22.5,LSU,College Stats,AdamJa00
1,7,LAC,Mike Williams,WR,22,2024,0,0,4,38,37,106,0,0,0,0,0,10,34,1,330,5104,32,,1,,Clemson,College Stats,WillMi07
1,8,CAR,Christian McCaffrey,RB,21,2025,3,4,6,86,43,112,2,5,84,2,0,1658,7589,62,626,5390,36,1,,,Stanford,College Stats,McCaCh01
1,9,CIN,John Ross,WR,21,2024,0,0,1,7,5,38,0,0,0,0,0,9,41,0,63,963,11,,,,Washington,College Stats,RossJo00
1,10,KAN,Patrick Mahomes,QB,21,2025,2,6,8,115,115,126,3093,4673,35939,267,85,496,2665,19,3,-2,0,2,,,Texas Tech,College Stats,MahoPa00
1,11,NOR,Marshon Lattimore,CB,21,2025,0,4,7,43,41,108,0,0,0,0,0,0,0,0,0,0,0,345,16,,Ohio St.,College Stats,LattMa01
1,12,HOU,Deshaun Watson,QB,21,2024,0,3,4,58,52,73,1527,2305,17904,123,48,400,2142,20,1,6,1,1,,,Clemson,College Stats,WatsDe00
1,13,ARI,Haason Reddick,LB,22,2025,0,2,6,47,14,137,0,0,0,0,0,0,0,0,0,0,0,290,,61.5,Temple,College Stats,ReddHa00
1,14,PHI,Derek Barnett,DE,21,2025,0,0,3,27,22,112,0,0,0,0,0,0,0,0,0,0,0,135,,34.0,Tennessee,College Stats,BarnDe01
1,15,IND,Malik Hooker,S,21,2025,0,0,6,26,13,112,0,0,0,0,0,0,0,0,0,0,0,261,14,,Ohio St.,College Stats,HookMa00
1,16,BAL,Marlon Humphrey,CB,21,2025,2,4,8,62,62,131,0,0,0,0,0,0,0,0,0,0,0,406,23,7.0,Alabama,College Stats,HumpMa00
1,17,WAS,Jonathan Allen,DE,22,2025,0,2,8,57,48,126,0,0,0,0,0,0,0,0,0,0,0,270,1,45.5,Alabama,College Stats,AlleJo01
1,18,TEN,Adoree' Jackson,CB,21,2025,0,0,7,30,15,111,0,0,0,0,0,5,55,0,0,0,0,370,5,,USC,College Stats,JackAd00
1,19,TAM,O.J. Howard,TE,22,2022,0,0,4,13,12,72,0,0,0,0,0,0,0,0,129,1882,17,,,,Alabama,College Stats,HowaO.00
1,20,DEN,Garett Bolles,T,25,2025,1,1,8,56,56,133,0,0,0,0,0,0,0,0,0,0,0,,,,Utah,College Stats,BollGa00
1,21,DET,Jarrad Davis,LB,22,2022,0,0,3,22,20,68,0,0,0,0,0,0,0,0,0,0,0,226,1,11.0,Florida,College Stats,DaviJa01
1,22,MIA,Charles Harris,OLB,22,2024,0,0,2,16,4,103,0,0,0,0,0,0,0,0,0,0,0,112,,19.5,Missouri,College Stats,HarrCh03
1,23,NYG,Evan Engram,TE,23,2025,0,2,8,37,18,124,0,0,0,0,0,17,100,1,546,5383,26,2,,,Mississippi,College Stats,EngrEv00
1,24,OAK,Gareon Conley,CB,22,2019,0,0,1,9,7,31,0,0,0,0,0,0,0,0,0,0,0,65,4,,Ohio St.,College Stats,ConlGa00
