,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,,-additional
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,TEN,Cam Ward,QB,23,2025,0,0,1,7,7,17,323,540,3169,15,7,39,159,2,0,0,0,,,,Miami (FL),College Stats,WardCa00
1,2,JAX,Travis Hunter,WR,22,2025,0,0,0,5,5,7,0,0,0,0,0,1,0,0,28,298,1,11,,,Colorado,College Stats,HuntTr00
1,3,NYG,Abdul Carter,DE,21,2025,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,25,,4.0,Penn St.,College Stats,CartAb00
1,4,NWE,Will Campbell,OT,21,2025,0,0,1,8,8,13,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats,CampWi01
1,5,CLE,Mason Graham,DT,22,2025,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,28,,0.5,Michigan,College Stats,GrahMa00
1,6,LVR,Ashton Jeanty,RB,21,2025,0,0,1,7,7,17,0,0,0,0,0,266,975,5,55,346,5,,,,Boise St.,College Stats,JeanAs00
1,7,NYJ,Armand Membou,OL,21,2025,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,Missouri,College Stats,MembAr00
1,8,CAR,Tetairoa McMillan,WR,22,2025,0,0,1,9,9,17,0,0,0,0,0,0,0,0,70,1014,7,,,,Arizona,College Stats,McMiTe00
1,9,NOR,Kelvin Banks,OL,21,2025,0,0,1,6,6,17,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats,BankKe01
1,10,CHI,Colston Loveland,TE,21,2025,0,0,1,7,7,16,0,0,0,0,0,1,-2,0,58,713,6,,,,Michigan,College Stats,LoveCo00
1,11,SFO,Mykel Williams,DL,21,2025,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,11,,1.0,Georgia,College Stats,WillMy00
1,12,DAL,Tyler Booker,OL,21,2025,0,0,1,6,6,14,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,BookTy00
1,13,MIA,Kenneth Grant,DT,21,2025,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,15,,2.0,Michigan,College Stats,GranKe01
1,14,IND,Tyler Warren,TE,23,2025,0,1,1,9,9,17,0,1,0,0,0,6,8,1,76,817,4,,,,Penn St.,College Stats,WarrTy00
1,15,ATL,Jalon Walker,DE,21,2025,0,0,1,5,5,15,0,0,0,0,0,0,0,0,0,0,0,24,,5.5,Georgia,College Stats,WalkJa02
1,16,ARI,Walter Nolen,DT,21,2025,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,8,,2.0,Mississippi,College Stats,NoleWa00
1,17,CIN,Shemar Stewart,DE,21,2025,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,5,,1.0,Texas A&M,College Stats,StewSh00
1,18,SEA,Grey Zabel,OT,23,2025,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota St.,,ZabeGr00
1,19,TAM,Emeka Egbuka,WR,22,2025,0,0,1,9,9,17,0,0,0,0,0,2,9,0,63,938,6,,,,Ohio St.,College Stats,EgbuEm01
1,20,DEN,Jahdae Barron,CB,23,2025,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,24,1,,Texas,College Stats,BarrJa01
1,21,PIT,Derrick Harmon,DT,22,2025,0,0,0,4,4,12,0,0,0,0,0,0,0,0,0,0,0,11,,3.0,Oregon,College Stats,HarmDe01
1,22,LAC,Omarion Hampton,RB,22,2025,0,0,0,5,5,9,0,0,0,0,0,124,545,4,32,192,1,,,,North Carolina,College Stats,HampOm00
1,23,GNB,Matthew Golden,WR,22,2025,0,0,0,4,4,14,0,0,0,0,0,10,49,0,29,361,0,,,,Texas,College Stats,GoldMa02
1,24,MIN,Donovan Jackson,OL,22,2025,0,0,1,5,5,14,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,JackDo03
1,25,NYG,Jaxson Dart,QB,22,2025,0,0,1,11,11,14,216,339,2272,15,5,86,487,9,0,0,0,,,,Mississippi,College Stats,DartJa00
1,26,ATL,James Pearce,DE,21,2025,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,17,,10.5,Tennessee,College Stats,PearJa00
1,27,BAL,Malaki Starks,SAF,21,2025,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,49,2,,Georgia,College Stats,StarMa00
1,28,DET,Tyleik Williams,DT,22,2025,0,0,1,4,4,17,0,0,0,0,0,0,0,0,0,0,0,8,,1.0,Ohio St.,College Stats,WillTy02
1,29,WAS,Josh Conerly,OL,21,2025,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats,ConeJo00
1,30,BUF,Maxwell Hairston,CB,22,2025,0,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,14,2,,Kentucky,College Stats,HairMa00
1,31,PHI,Jihaad Campbell,LB,21,2025,0,0,1,6,6,17,0,0,0,0,0,0,0,0,0,0,0,44,1,,Alabama,College Stats,CampJi00
1,32,KAN,Josh Simmons,OL,22,2025,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,SimmJo01
2,33,CLE,Carson Schwesinger,LB,22,2025,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,67,2,2.5,UCLA,College Stats,SchwCa00
2,34,HOU,Jayden Higgins,WR,22,2025,0,0,1,4,4,17,0,0,0,0,0,0,0,0,41,525,6,,,,Iowa St.,College Stats,HiggJa00
2,35,SEA,Nick Emmanwori,SAF,21,2025,0,0,1,4,4,14,0,0,0,0,0,0,0,0,0,0,0,56,1,2.5,South Carolina,College Stats,EmmaNi00
2,36,CLE,Quinshon Judkins,RB,21,2025,0,0,1,4,4,14,0,0,0,0,0,230,827,7,26,171,0,,,,Ohio St.,College Stats,JudkQu00
2,37,MIA,Jonah Savaiinaea,OL,21,2025,0,0,1,6,6,17,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,College Stats,SavaJo00
2,38,NWE,TreVeyon Henderson,RB,22,2025,0,0,0,8,8,17,0,0,0,0,0,180,911,9,35,221,1,,,,Ohio St.,College Stats,HendTr02
2,39,CHI,Luther Burden,WR,21,2025,0,0,0,6,6,15,0,0,0,0,0,6,37,0,47,652,2,,,,Missouri,College Stats,BurdLu00
2,40,NOR,Tyler Shough,QB,25,2025,0,0,1,7,7,11,221,327,2384,10,6,45,186,3,0,0,0,,,,Louisville,College Stats,ShouTy00
2,41,BUF,T.J. Sanders,DT,22,2025,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,7,,1.0,South Carolina,College Stats,SandTJ00
2,42,NYJ,Mason Taylor,TE,21,2025,0,0,1,3,3,13,0,0,0,0,0,0,0,0,44,369,1,,,,LSU,College Stats,TaylMa02
2,43,SFO,Alfred Collins,DT,23,2025,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,4,,1.0,Texas,College Stats,CollAl01
2,44,DAL,Donovan Ezeiruaku,DE,21,2025,0,0,1,3,3,17,0,0,0,0,0,0,0,0,0,0,0,20,,2.0,Boston Col.,College Stats,EzeiDo00
2,45,IND,JT Tuimoloau,DE,22,2025,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,6,,,Ohio St.,College Stats,TuimJT00
2,46,LAR,Terrance Ferguson,TE,22,2025,0,0,0,2,2,14,0,0,0,0,0,1,0,0,11,231,3,,,,Oregon,College Stats,FergTe00
2,47,ARI,Will Johnson,CB,22,2025,0,0,1,3,3,12,0,0,0,0,0,0,0,0,0,0,0,27,,,Michigan,College Stats,JohnWi02
2,48,HOU,Aireontae Ersery,OL,23,2025,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Minnesota,College Stats,ErseAi00
2,49,CIN,Demetrius Knight,LB,25,2025,0,0,1,6,6,17,0,0,0,0,0,0,0,0,0,0,0,58,2,3.0,South Carolina,College Stats,KnigDe00
2,50,SEA,Elijah Arroyo,TE,22,2025,0,0,0,2,2,13,0,0,0,0,0,0,0,0,15,179,1,,,,Miami (FL),College Stats,ArroEl00
2,51,CAR,Nic Scourton,DE,21,2025,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,20,,5.0,Texas A&M,College Stats,ScouNi00
2,52,TEN,Oluwafemi Oladejo,DE,21,2025,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,5,,,UCLA,College Stats,OladOl00
2,53,TAM,Benjamin Morrison,CB,21,2025,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,19,,,Notre Dame,College Stats,MorrBe00
2,54,GNB,Anthony Belton,OT,24,2025,0,0,0,5,5,14,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,College Stats,BeltAn00
2,55,LAC,Tre Harris,WR,23,2025,0,0,1,3,3,17,0,0,0,0,0,2,10,0,30,324,1,,,,Mississippi,College Stats,HarrTr03
2,56,CHI,Ozzy Trapilo,OL,23,2025,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,College Stats,TrapOz00
2,57,DET,Tate Ratledge,OL,24,2025,0,0,1,7,7,17,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,RatlTa00
2,58,LVR,Jack Bech,WR,22,2025,0,0,0,2,2,16,0,0,0,0,0,0,0,0,20,224,0,1,,,TCU,College Stats,BechJa00
2,59,BAL,Mike Green,DE,22,2025,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,17,,3.5,Marshall,College Stats,GreeMi02
2,60,DEN,RJ Harvey,RB,24,2025,0,0,0,6,6,17,0,1,0,0,0,146,540,7,47,356,5,,,,Central Florida,College Stats,HarvRJ00
2,61,WAS,Trey Amos,CB,23,2025,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,19,,,Mississippi,College Stats,AmosTr00
2,62,CHI,Shemar Turner,DE,22,2025,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,,,Texas A&M,College Stats,TurnSh00
2,63,KAN,Omarr Norman-Lott,DT,23,2025,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,,1.0,Tennessee,College Stats,NormOm00
2,64,PHI,Andrew Mukuba,SAF,22,2025,0,0,1,3,3,11,0,0,0,0,0,0,0,0,0,0,0,27,2,0.5,Texas,College Stats,MukuAn00
3,65,NYG,Darius Alexander,DT,25,2025,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,9,,3.5,Toledo,College Stats,AlexDa01
3,66,KAN,Ashton Gillotte,DE,22,2025,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,14,1,1.5,Louisville,College Stats,GillAs00
3,67,CLE,Harold Fannin,TE,21,2025,0,0,1,5,5,16,0,0,0,0,0,7,13,1,72,731,6,,,,Bowling Green,College Stats,FannHa00
3,68,LVR,Darien Porter,CB,24,2025,0,0,1,4,4,17,0,0,0,0,0,0,0,0,0,0,0,29,,,Iowa St.,College Stats,PortDa00
3,69,NWE,Kyle Williams,WR,22,2025,0,0,0,2,2,17,0,0,0,0,0,2,3,0,10,209,3,,,,Washington St.,College Stats,WillKy03
3,70,DET,Isaac TeSlaa,WR,23,2025,0,0,0,2,2,17,0,0,0,0,0,0,0,0,16,239,6,,,,Arkansas,College Stats,TeSlIs00
3,71,NOR,Vernon Broughton,DT,24,2025,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats,BrouVe00
3,72,BUF,Landon Jackson,DE,22,2025,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats,JackLa03
3,73,NYJ,Azareye'h Thomas,CB,21,2025,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,13,,,Florida St.,College Stats,ThomAz00
3,74,DEN,Pat Bryant,WR,22,2025,0,0,0,3,3,15,0,0,0,0,0,0,0,0,31,378,1,,,,Illinois,College Stats,BryaPa00
3,75,SFO,Nick Martin,LB,22,2025,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,8,,,Oklahoma St.,College Stats,MartNi01
3,76,DAL,Shavon Revel,CB,24,2025,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,23,,,East Carolina,College Stats,ReveSh00
3,77,CAR,Princely Umanmielen,DE,23,2025,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,13,,1.5,Mississippi,College Stats,UmanPr00
3,78,ARI,Jordan Burch,DE,23,2025,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,5,,1.0,Oregon,College Stats,BurcJo00
3,79,HOU,Jaylin Noel,WR,23,2025,0,0,0,2,2,17,0,0,0,0,0,6,12,0,26,292,2,,,,Iowa St.,College Stats,NoelJa00
3,80,IND,Justin Walley,CB,22,,0,0,0,,,,,,,,,,,,,,,,,,Minnesota,College Stats,WallJu00
3,81,CIN,Dylan Fairchild,OL,22,2025,0,0,1,6,6,15,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,FairDy00
3,82,TEN,Kevin Winston,SAF,21,2025,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,21,,1.0,Penn St.,College Stats,WinsKe02
3,83,PIT,Kaleb Johnson,RB,22,2025,0,0,0,1,1,10,0,0,0,0,0,28,69,0,1,9,0,,,,Iowa,College Stats,JohnKa03
3,84,TAM,Jacob Parrish,CB,21,2025,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,50,2,2.0,Kansas St.,College Stats,ParrJa01
3,85,KAN,Nohl Williams,CB,22,2025,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,30,,1.0,California,College Stats,WillNo01
3,86,LAC,Jamaree Caldwell,DT,25,2025,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,14,,1.0,Oregon,College Stats,CaldJa00
